dt_utc,temp_c,humidity_pct,wind_speed,weather_main,weather_desc,rain_3h_mm
2026-05-06 15:00:00+00:00,26.97,78,2.63,Rain,moderate rain,7.33
2026-05-06 18:00:00+00:00,27.08,77,5.08,Rain,light rain,0.96
2026-05-06 21:00:00+00:00,26.69,82,3.28,Clouds,broken clouds,0.0
2026-05-07 00:00:00+00:00,26.63,82,1.62,Clouds,scattered clouds,0.0
2026-05-07 03:00:00+00:00,31.37,58,3.24,Clouds,overcast clouds,0.0
2026-05-07 06:00:00+00:00,35.73,41,3.94,Clouds,overcast clouds,0.0
2026-05-07 09:00:00+00:00,37.33,34,5.37,Clouds,few clouds,0.0
2026-05-07 12:00:00+00:00,27.97,65,5.03,Rain,moderate rain,9.19
2026-05-07 15:00:00+00:00,28.48,73,6.68,Rain,light rain,0.97
